,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Bang Bang Pop Pop,JohnnyFang,126,431,377,40,0.343,0.82,772,44,48,3.88,1.2,45,,1,21579,The Sultans of Stats 2019,124146,144.5,199.5,122.5,135.0,114.0,121.0,200.0,163.5,212.0,123.5,150.5,148.0,1834.0,30.0
1,Forearm Tightness,CropRhombus,129,419,393,47,0.342,0.84,698,10,43,3.84,1.15,44,,2,21579,The Sultans of Stats 2019,124156,162.5,170.0,159.5,173.0,106.5,177.5,136.0,12.0,200.5,135.5,198.5,138.5,1770.0,44.0
2,Swinger Bell,WMason,128,422,399,36,0.355,0.84,733,23,42,4.11,1.23,43,,3,21579,The Sultans of Stats 2019,124153,159.0,179.0,166.5,105.0,199.5,177.5,172.5,55.5,196.5,75.5,111.0,129.0,1726.5,52.0
3,Harper Wallbanger,Prime416,149,420,445,39,0.336,0.824,746,19,34,4.07,1.25,36,,4,21579,The Sultans of Stats 2019,124185,219.0,174.0,218.0,129.5,57.5,137.5,185.0,41.0,164.5,82.0,84.0,60.0,1552.0,85.0
4,Ten Points for Griffeyndor,coreyjro,114,421,361,26,0.343,0.806,736,34,52,3.8,1.25,43,,4,21579,The Sultans of Stats 2019,124166,91.5,177.0,87.0,26.0,114.0,82.5,175.5,110.0,219.5,143.5,84.0,129.0,1439.5,101.0
5,Shaky,shaky,129,455,454,39,0.341,0.826,541,55,25,4.57,1.33,35,,6,21579,The Sultans of Stats 2019,124202,162.5,220.0,222.0,129.5,98.0,145.0,36.5,210.5,105.0,12.0,17.5,54.0,1412.5,107.0
6,Rocky Mountain High,rdknott,99,380,325,46,0.34,0.779,630,26,43,3.73,1.16,47,,7,21579,The Sultans of Stats 2019,124224,25.0,79.0,20.0,168.0,90.5,26.5,80.0,75.0,200.5,164.5,190.5,171.0,1290.5,126.0
7,Clown Cheesesteaks,Hurtya,112,340,367,32,0.331,0.777,755,25,37,3.69,1.12,46,,8,21579,The Sultans of Stats 2019,124188,76.5,23.5,98.0,71.5,30.5,25.0,192.0,70.5,180.5,169.5,211.5,159.0,1308.0,122.0
8,Edwins Parrot,JamieSayer,130,380,379,26,0.351,0.839,578,24,51,4.3,1.35,29,,9,21579,The Sultans of Stats 2019,124194,166.5,79.0,129.5,26.0,176.5,174.0,52.5,64.0,217.5,31.5,9.0,23.0,1149.0,151.0
9,Yuuuuper Duper,Do_Not_Look_Up,122,381,372,54,0.347,0.819,722,21,27,4.69,1.36,38,,10,21579,The Sultans of Stats 2019,124169,124.5,82.5,109.5,198.5,146.5,117.5,156.5,47.5,122.0,7.0,5.5,77.0,1194.5,146.0
10,Beige Lunatics,Khaki_Scout,106,394,380,57,0.333,0.766,585,22,54,3.84,1.25,29,,11,21579,The Sultans of Stats 2019,124162,43.0,110.0,132.0,208.5,43.0,13.0,56.5,51.0,221.0,135.5,84.0,23.0,1120.5,155.0
11,Humongous Melonheads,bearzRchill,107,357,354,38,0.338,0.797,726,37,36,4.02,1.25,37,,12,21579,The Sultans of Stats 2019,124179,49.5,34.5,69.0,121.5,72.5,59.5,163.0,126.5,175.5,92.5,84.0,68.0,1116.0,156.0
12,Rated Rookies,downpat75,118,377,369,33,0.335,0.809,638,29,19,4.01,1.27,47,,13,21579,The Sultans of Stats 2019,124189,105.0,70.5,103.5,80.0,51.5,94.5,84.0,87.0,66.5,94.5,61.5,171.0,1069.5,170.0
13,Mighty Morphin' Bauer Rangers,notgradylittle,113,378,332,35,0.326,0.78,701,51,16,4.0,1.25,54,,13,21579,The Sultans of Stats 2019,124164,84.0,73.0,35.0,96.5,12.5,28.5,139.0,195.0,50.0,96.5,84.0,212.5,1106.5,159.0
14,boston phucknuts,phucknut,122,397,366,35,0.326,0.787,691,28,27,4.12,1.21,34,,15,21579,The Sultans of Stats 2019,124304,124.5,118.0,94.0,96.5,12.5,37.5,130.0,83.5,122.0,73.5,138.5,49.5,1080.0,167.0
15,Allegheny River Stranglers,kjohnm,109,363,337,21,0.331,0.788,639,23,34,3.88,1.25,35,,16,21579,The Sultans of Stats 2019,124151,60.0,44.5,42.0,11.5,30.5,40.5,86.5,55.5,164.5,123.5,84.0,54.0,797.0,203.5
16,Hayzer,Hayzer13,121,414,399,34,0.344,0.812,820,26,37,3.39,1.13,50,,1,21581,D2 - Tony La Russa,124209,120.0,156.5,166.5,86.5,122.0,104.0,219.0,75.0,180.5,213.0,207.0,194.0,1844.0,28.0
17,Bavarian Legends,xacex,138,417,390,42,0.343,0.821,766,7,57,3.93,1.22,56,,2,21581,D2 - Tony La Russa,124148,190.5,165.0,153.5,145.0,114.0,124.5,197.0,9.5,224.5,108.0,126.0,219.0,1776.5,41.5
18,Team Pup N Suds,florun,142,417,391,33,0.354,0.852,729,39,35,4.15,1.26,44,,3,21581,D2 - Tony La Russa,124161,204.0,165.0,155.5,80.0,194.0,196.5,167.0,140.5,170.0,63.0,71.5,138.5,1745.5,49.0
19,vzomed,vzomed,130,429,391,31,0.349,0.846,808,15,48,4.36,1.27,51,,4,21581,D2 - Tony La Russa,124172,166.5,195.0,155.5,62.5,162.5,187.5,215.5,23.0,212.0,25.0,61.5,201.5,1668.0,65.0
20,Makes you wanna Schoop Schoop Schoop,shivvvy,123,382,349,39,0.354,0.845,788,48,27,3.98,1.21,48,,5,21581,D2 - Tony La Russa,124228,130.0,86.0,60.5,129.5,194.0,186.0,207.5,183.0,122.0,99.0,138.5,181.5,1717.5,54.0
21,Syndergaarden Cop,GarrettGus,127,407,406,29,0.346,0.85,656,49,33,4.22,1.32,40,,6,21581,D2 - Tony La Russa,124187,153.5,138.0,178.0,46.0,138.5,195.0,103.0,189.0,158.5,48.5,22.0,99.5,1469.5,96.0
22,Finding Nimmo,SPRX97,112,357,348,30,0.362,0.826,704,18,44,3.73,1.21,42,,7,21581,D2 - Tony La Russa,124181,76.5,34.5,57.5,55.0,213.0,145.0,143.0,35.5,204.0,164.5,138.5,117.5,1384.5,113.0
23,OldManMax,OldManMax,126,411,411,50,0.334,0.807,605,27,47,4.28,1.35,22,,8,21581,D2 - Tony La Russa,124205,144.5,147.5,187.5,184.5,48.0,85.5,64.0,79.5,210.0,36.0,9.0,7.5,1203.5,143.0
24,BustHerPosey,BustHerPosey,113,379,356,37,0.328,0.764,703,42,28,3.73,1.17,48,,8,21581,D2 - Tony La Russa,124165,84.0,76.0,73.0,112.0,18.0,11.0,141.0,154.0,129.5,164.5,180.5,181.5,1325.0,120.0
25,hbt,onegaishimasu,97,406,349,26,0.348,0.794,754,42,21,3.61,1.16,46,,10,21581,D2 - Tony La Russa,124226,17.0,135.0,60.5,26.0,155.5,51.0,191.0,154.0,79.5,189.0,190.5,159.0,1408.0,108.0
26,kristusv,KristusV,123,388,349,55,0.333,0.802,673,24,21,3.81,1.25,50,,11,21581,D2 - Tony La Russa,124204,130.0,95.0,60.5,202.5,43.0,73.5,116.5,64.0,79.5,141.0,84.0,194.0,1283.5,127.0
27,Two Birds One Bat,sinfolaw,103,410,354,46,0.338,0.791,646,52,27,4.29,1.34,41,,12,21581,D2 - Tony La Russa,124173,32.5,145.5,69.0,168.0,72.5,46.0,96.0,199.0,122.0,33.5,13.0,107.5,1104.5,160.5
28,Who's Your Vladdy?,26torrez,119,365,377,57,0.336,0.818,487,32,29,4.44,1.3,20,,13,21581,D2 - Tony La Russa,124207,110.5,50.5,122.5,208.5,57.5,114.0,17.0,102.0,134.5,19.5,35.0,4.5,976.0,182.0
29,CloudKoopa,CloudKoopa,112,338,354,32,0.327,0.779,683,37,26,4.14,1.28,31,,14,21581,D2 - Tony La Russa,124154,76.5,21.0,69.0,71.5,15.0,26.5,125.0,126.5,112.5,67.0,52.0,34.5,797.0,203.5
30,Hakuna Tanaka,ndevito1,139,419,417,30,0.35,0.837,746,31,44,3.63,1.23,45,,1,21580,D2 - Joe Torre,124178,195.5,170.0,195.0,55.0,169.0,171.5,185.0,97.0,204.0,184.0,111.0,148.0,1885.0,22.0
31,NextLevelFantasy,NextLvlFantasy,140,404,425,27,0.344,0.822,722,18,62,3.35,1.17,47,,2,21580,D2 - Joe Torre,124033,200.0,131.5,206.5,32.5,122.0,129.0,156.5,35.5,226.0,216.0,180.5,171.0,1807.0,34.0
32,evilempire105,evilempire105,116,412,357,43,0.355,0.844,693,43,40,3.68,1.15,45,,3,21580,D2 - Joe Torre,124168,99.5,151.5,76.0,151.0,199.5,184.0,131.5,157.5,189.5,172.5,198.5,148.0,1859.0,24.0
33,Zach20245,Zach20245,119,407,369,54,0.338,0.801,759,30,26,3.65,1.12,60,,4,21580,D2 - Joe Torre,124167,110.5,138.0,103.5,198.5,72.5,71.5,193.0,91.5,112.5,179.5,211.5,224.5,1707.0,58.0
