,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Terrence Young,Terrence8026,270,786,754,55,0.359,0.881,1373,87,72,3.72,1.18,84,,1,21590,D4 - Mike Mussina,124701,82.0,80.0,77.0,21.0,76.5,79.5,81.0,77.0,77.0,68.0,74.0,72.5,3019.5,1.0
1,HearTheBeard,hearthebeard,258,738,731,55,0.354,0.849,1013,85,78,3.51,1.15,49,,2,21590,D4 - Mike Mussina,124722,78.0,60.0,74.0,21.0,70.0,64.0,34.0,76.0,81.0,78.0,78.5,12.5,2555.0,13.0
2,Let The Mookie Win,Tcryden,212,744,695,89,0.353,0.836,1142,54,74,4.23,1.23,65,,3,21590,D4 - Mike Mussina,124708,42.0,63.0,56.0,71.0,66.5,48.0,54.0,34.5,79.0,24.5,50.0,41.5,2238.0,19.0
3,The Mensches,MasonO,246,672,655,69,0.337,0.841,987,72,43,3.81,1.23,54,,4,21590,D4 - Mike Mussina,124794,69.5,35.0,39.0,52.0,16.5,54.0,31.0,62.0,55.5,61.5,50.0,21.5,1922.5,35.0
4,cancer_sticks,cancer_sticks,209,701,640,61,0.343,0.815,1263,82,56,4.19,1.27,60,,5,21590,D4 - Mike Mussina,124669,37.5,48.5,33.0,31.5,31.5,26.5,72.0,74.5,68.5,30.0,31.5,29.0,1811.0,43.0
5,Bowie Baysox,M5rich5,180,612,558,81,0.344,0.822,1246,16,1,3.66,1.15,106,,6,21590,D4 - Mike Mussina,124700,16.5,20.0,11.5,66.5,36.5,31.0,70.0,7.5,4.0,72.5,78.5,84.0,1849.0,41.0
6,Norwood Newt,nrwdnewt,184,666,658,61,0.346,0.825,960,46,13,3.61,1.25,66,,7,21590,D4 - Mike Mussina,124738,20.0,32.5,41.0,31.5,43.5,34.0,24.0,25.5,17.5,76.5,37.0,44.5,1602.5,52.0
7,Ole,MatrixDream,224,690,668,66,0.349,0.867,725,5,29,4.76,1.35,52,,8,21590,D4 - Mike Mussina,124778,51.0,42.5,45.0,40.5,55.5,74.0,1.0,2.0,32.5,2.0,5.0,18.0,1378.0,62.0
8,Lords of Lumber,Clarkbar36,178,593,525,77,0.36,0.854,904,67,5,4.43,1.31,60,,9,21590,D4 - Mike Mussina,124706,15.0,15.0,4.5,60.5,78.0,69.0,16.0,50.0,9.5,8.0,12.5,29.0,1457.0,60.0
9,Stupid Betts,brhill5873,175,576,573,79,0.325,0.775,787,71,7,3.47,1.23,49,,10,21590,D4 - Mike Mussina,124715,13.0,9.0,15.0,63.0,4.0,5.0,6.0,61.0,11.0,81.5,50.0,12.5,1311.5,71.0
10,Black Love Soul Food,ceashley32,157,604,570,77,0.341,0.798,932,44,17,4.24,1.31,48,,11,21590,D4 - Mike Mussina,124731,5.0,18.5,14.0,60.5,26.0,15.5,20.0,23.5,21.5,22.5,12.5,10.0,1033.5,82.0
11,The Standing Waves,thejoelingdead,166,513,501,27,0.327,0.774,979,40,41,4.14,1.29,57,,12,21590,D4 - Mike Mussina,124813,8.0,3.0,3.0,1.0,6.0,4.0,28.0,21.0,51.0,35.5,20.5,26.0,862.0,84.0
12,wOBA Fett,Uncledonny,244,764,697,65,0.35,0.834,1483,89,48,3.5,1.12,93,,1,21591,D4 - Mariano Rivera,124710,66.5,70.0,58.0,37.5,59.0,46.0,84.0,79.0,61.0,79.0,81.0,79.0,2796.5,5.0
13,Sultans of Swing,marcram,244,757,714,69,0.351,0.827,1437,38,81,3.45,1.18,102,,2,21591,D4 - Mariano Rivera,125383,66.5,68.0,62.5,52.0,61.0,37.5,83.0,20.0,82.0,83.0,74.0,83.0,2724.5,6.0
14,Franimal House,parkranger2000,251,746,755,87,0.361,0.887,1287,78,32,4.11,1.24,78,,3,21591,D4 - Mariano Rivera,124903,75.5,64.5,78.5,69.5,79.5,83.0,77.5,69.5,36.5,37.0,41.5,65.0,2673.5,7.0
15,Van Buren Boys,VanBurenBoys_8,250,773,727,48,0.345,0.842,1236,78,65,3.87,1.14,66,,4,21591,D4 - Mariano Rivera,125068,74.0,73.5,70.0,11.5,39.5,57.0,68.0,69.5,72.0,58.5,80.0,44.5,2475.0,15.0
16,The Good Boys,Thegoodboys59,231,706,716,64,0.362,0.885,958,75,40,3.94,1.23,55,,5,21591,D4 - Mariano Rivera,125385,60.0,51.0,64.0,36.0,81.0,82.0,23.0,65.5,50.0,51.0,50.0,23.5,2215.5,22.0
17,Chazz city,wheredawhitewom,247,783,755,50,0.353,0.879,961,35,14,4.32,1.35,61,,6,21591,D4 - Mariano Rivera,124650,71.5,78.0,78.5,16.0,66.5,78.0,25.0,16.0,19.0,15.5,5.0,31.5,1778.0,45.0
18,Vottomatic,KeeptheDH,185,604,586,90,0.335,0.798,927,108,36,3.9,1.24,44,,7,21591,D4 - Mariano Rivera,125213,21.5,18.5,21.0,72.0,14.0,15.5,17.0,84.0,43.5,55.0,41.5,4.5,1523.5,55.0
19,Darebel10000,Darebel10000,162,587,568,71,0.323,0.759,1136,76,47,4.03,1.28,64,,8,21591,D4 - Mariano Rivera,124866,7.0,13.0,13.0,54.5,3.0,2.0,51.0,67.5,59.0,45.0,26.0,37.5,1402.5,61.0
20,uggla123,superplatypus57,188,696,592,63,0.339,0.788,1122,16,33,4.24,1.31,84,,9,21591,D4 - Mariano Rivera,125392,24.0,47.0,23.0,35.0,21.0,8.0,48.0,7.5,38.0,22.5,12.5,72.5,1306.5,72.0
21,"Rigs, Pipes & Lettuce",NufCed,161,499,552,60,0.334,0.809,930,10,4,3.79,1.21,74,,10,21591,D4 - Mariano Rivera,124685,6.0,2.0,9.0,30.0,12.5,22.0,19.0,4.5,7.0,63.5,61.0,59.0,1228.0,75.0
22,War Pigs,gloriouswombat,208,532,575,48,0.345,0.829,883,79,0,4.66,1.37,44,,11,21591,D4 - Mariano Rivera,125378,36.0,4.0,17.0,11.5,39.5,40.0,14.0,71.5,2.0,3.0,2.0,4.5,1038.5,81.0
23,Little Cowboys,YellowPerch,150,566,525,112,0.326,0.772,770,19,8,4.2,1.28,58,,12,21591,D4 - Mariano Rivera,124711,2.0,8.0,4.5,83.0,5.0,3.0,4.0,9.5,12.5,29.0,26.0,27.0,930.0,83.0
24,SonsofBichettes,Wisemansstaff,242,747,696,81,0.354,0.843,1225,68,58,3.71,1.18,65,,1,21592,D4 - Mark Buehrle,124697,64.5,66.0,57.0,66.5,70.0,59.0,65.0,52.0,70.0,69.5,74.0,41.5,2587.0,10.0
25,Whirly Buehrles,eddardsnark31,237,708,651,43,0.344,0.809,1354,69,47,3.93,1.22,79,,2,21592,D4 - Mark Buehrle,124682,63.0,52.0,37.0,6.5,36.5,22.0,80.0,55.0,59.0,52.5,58.0,67.5,2037.5,28.0
26,The Muddbutts,jimtow28,249,781,747,97,0.332,0.818,1028,54,56,4.15,1.28,65,,3,21592,D4 - Mark Buehrle,124652,73.0,77.0,76.0,76.0,8.0,29.0,40.0,34.5,68.5,33.5,26.0,41.5,2015.0,30.0
27,The Hacksaw,DrJackBauer,215,633,654,68,0.347,0.841,1135,67,21,4.01,1.23,78,,4,21592,D4 - Mark Buehrle,124688,46.0,22.0,38.0,48.0,48.5,54.0,50.0,50.0,25.5,46.0,50.0,65.0,1944.5,33.0
28,tbinta,tbinta,216,709,689,98,0.34,0.825,1219,61,42,4.44,1.29,74,,4,21592,D4 - Mark Buehrle,124679,47.0,53.0,53.5,77.0,23.5,34.0,64.0,46.0,53.0,7.0,20.5,59.0,1878.0,40.0
29,Wharf Rats,srndsnd,210,644,659,44,0.366,0.883,1044,32,27,3.88,1.26,86,,4,21592,D4 - Mark Buehrle,124666,39.5,26.0,42.0,8.0,83.0,81.0,41.0,14.0,30.0,56.5,34.5,74.0,1903.5,39.0
30,Dayzdnconfused,dayzdnconfused,229,773,758,58,0.349,0.842,1019,82,17,4.22,1.31,64,,7,21592,D4 - Mark Buehrle,124695,59.0,73.5,80.0,27.5,55.5,57.0,36.0,74.5,21.5,26.0,12.5,37.5,1967.0,32.0
31,The Vottoman Empire,KitchenTaco,202,679,584,56,0.343,0.803,1170,46,47,3.95,1.16,79,,8,21592,D4 - Mark Buehrle,124693,31.0,36.0,20.0,23.5,31.5,17.0,57.0,25.5,59.0,49.5,77.0,67.5,1769.0,47.0
32,Senatorialist,senatorialist,185,657,632,68,0.336,0.792,1121,70,38,3.87,1.23,62,,9,21592,D4 - Mark Buehrle,124698,21.5,29.0,29.0,48.0,15.0,11.0,47.0,59.0,47.5,58.5,50.0,33.0,1603.0,51.0
33,Lt. Frank Drebin,alekhine888,180,585,530,57,0.343,0.821,839,58,36,3.96,1.2,35,,10,21592,D4 - Mark Buehrle,124687,16.5,11.0,7.0,25.5,31.5,30.0,11.0,40.0,43.5,48.0,64.5,2.0,1317.0,70.0
34,Keepin' it Realmuto,FletchTopper,182,558,558,55,0.346,0.857,793,58,0,4.17,1.33,64,,11,21592,D4 - Mark Buehrle,124691,18.0,6.0,11.5,21.0,43.5,71.0,7.0,40.0,2.0,32.0,8.0,37.5,1231.5,74.0
35,Samuels Square Garden,jacobgomets,183,602,607,48,0.343,0.825,1021,30,21,4.18,1.29,63,,12,21592,D4 - Mark Buehrle,124665,19.0,17.0,25.0,11.5,31.5,34.0,37.0,12.5,25.5,31.0,20.5,34.5,1147.5,76.0
36,The Rosies,RoRosie,272,807,806,91,0.359,0.881,1171,66,88,3.71,1.23,72,,1,21593,D4 - Roger Clemens,124672,83.0,83.5,83.0,73.0,76.5,79.5,58.0,48.0,83.0,69.5,50.0,54.0,2919.5,2.0
37,I Like Big Bats,fahey42,209,730,657,75,0.355,0.827,1097,57,92,3.67,1.19,69,,2,21593,D4 - Roger Clemens,124671,37.5,57.5,40.0,59.0,72.5,37.5,45.0,37.5,84.0,71.0,70.0,47.5,2324.0,18.0
38,Smoak 'Em If You Got 'Em,slaw47,225,742,699,74,0.334,0.813,1280,106,24,4.0,1.23,74,,3,21593,D4 - Roger Clemens,124664,53.0,62.0,59.5,58.0,12.5,24.0,76.0,83.0,28.0,47.0,50.0,59.0,2106.0,26.0
39,Whiskey Jacks,Thunder_Boy,234,778,725,79,0.349,0.848,943,74,31,4.21,1.3,56,,4,21593,D4 - Roger Clemens,124658,62.0,76.0,69.0,63.0,55.5,62.5,21.0,63.5,34.5,27.5,17.0,25.0,2021.5,29.0
40,Jobos Hobos,jobo1372,218,659,689,40,0.343,0.807,1140,93,35,3.73,1.19,70,,5,21593,D4 - Roger Clemens,124660,49.0,30.5,53.5,5.0,31.5,20.0,52.5,81.0,40.5,67.0,70.0,50.0,1932.0,34.0
41,Some Lady Named Baby Ruth,abrown26,213,666,636,67,0.353,0.837,836,33,29,3.65,1.07,50,,6,21593,D4 - Roger Clemens,124651,43.0,32.5,31.0,44.0,66.5,49.0,10.0,15.0,32.5,74.0,84.0,14.5,1799.0,44.0
42,Other People's Keepers,MrMet15,196,671,590,87,0.352,0.838,1163,58,28,4.32,1.28,63,,7,21593,D4 - Roger Clemens,124670,29.0,34.0,22.0,69.5,63.0,50.0,55.0,40.0,31.0,15.5,26.0,34.5,1711.0,49.0
43,Planet Express,PJFry,156,562,550,66,0.318,0.753,1190,50,20,3.95,1.25,81,,8,21593,D4 - Roger Clemens,124674,4.0,7.0,8.0,40.5,1.0,1.0,61.0,28.0,24.0,49.5,37.0,70.0,1328.0,67.0
44,LJ's Hoes,segoldma,191,691,685,57,0.35,0.842,786,41,5,4.48,1.27,47,,9,21593,D4 - Roger Clemens,124657,26.0,44.5,52.0,25.5,59.0,57.0,5.0,22.0,9.5,5.0,31.5,8.0,1334.0,65.5
45,Faith + 1,LeftCoastDrumer,149,533,492,69,0.332,0.779,964,30,15,3.61,1.11,71,,10,21593,D4 - Roger Clemens,124678,1.0,5.0,2.0,52.0,8.0,7.0,26.0,12.5,20.0,76.5,82.0,52.5,1363.5,64.0
46,Springfield Isotopes,enjoyingcarp650,214,680,621,59,0.344,0.826,1182,28,11,4.51,1.35,69,,11,21593,D4 - Roger Clemens,124667,44.5,37.0,27.0,29.0,36.5,36.0,59.0,11.0,15.5,4.0,5.0,47.5,1300.5,73.0
47,WillyMaysHays,willymayshays,226,659,667,56,0.341,0.832,729,36,72,4.4,1.31,27,,11,21593,D4 - Roger Clemens,124662,55.0,30.5,43.5,23.5,26.0,42.0,2.0,17.0,77.0,11.0,12.5,1.0,1324.5,68.0
48,The Duda Abides,kennkerp,286,805,808,68,0.355,0.877,1255,62,38,3.77,1.2,91,,1,21594,D4 - Willie Mays,124690,84.0,82.0,84.0,48.0,72.5,77.0,71.0,47.0,47.5,65.0,64.5,77.0,2801.0,4.0
49,Never Have I Devers,camboss,227,785,780,102,0.349,0.845,1229,52,44,3.66,1.2,77,,2,21594,D4 - Willie Mays,124735,56.5,79.0,82.0,80.5,55.5,61.0,67.0,31.0,57.0,72.5,64.5,62.5,2624.0,8.0
50,Dock Ellis,eatinChips,225,765,714,72,0.363,0.86,1265,56,76,3.88,1.22,67,,3,21594,D4 - Willie Mays,124742,53.0,71.0,62.5,56.0,82.0,72.0,74.0,36.0,80.0,56.5,58.0,46.0,2601.0,9.0
51,Ponch,ponch101,262,807,776,65,0.361,0.889,1165,59,69,4.06,1.26,73,,4,21594,D4 - Willie Mays,124704,81.0,83.5,81.0,37.5,79.5,84.0,56.0,43.0,74.0,41.0,34.5,56.0,2578.0,11.0
52,God Hates Skaggs,mattcahill,242,736,708,47,0.343,0.841,1384,67,26,3.93,1.23,94,,5,21594,D4 - Willie Mays,124726,64.5,59.0,61.0,9.0,31.5,54.0,82.0,50.0,29.0,52.5,50.0,80.5,2227.0,20.0
53,Scherzer? I barely Cano her.,yaheardwperd,203,718,630,96,0.339,0.804,1274,69,70,3.92,1.24,87,,6,21594,D4 - Willie Mays,124654,32.0,55.0,28.0,75.0,21.0,18.0,75.0,55.0,75.0,54.0,41.5,75.0,2161.5,24.0
54,Madison Mallards,MBatistussi,245,684,676,68,0.332,0.815,1200,74,72,4.21,1.27,65,,7,21594,D4 - Willie Mays,124689,68.0,39.5,49.5,48.0,8.0,26.5,62.0,63.5,77.0,27.5,31.5,41.5,1905.5,38.0
55,Proxy Draft,Thesneak155,168,601,557,110,0.338,0.796,799,69,31,3.79,1.19,48,,8,21594,D4 - Willie Mays,125981,9.0,16.0,10.0,82.0,18.5,14.0,8.0,55.0,34.5,63.5,70.0,10.0,1506.5,56.0
56,Failure to Launch Angle,Take Over,192,694,612,73,0.347,0.828,763,60,9,4.14,1.33,53,,9,21594,D4 - Willie Mays,124681,27.0,46.0,26.0,57.0,48.5,39.0,3.0,45.0,14.0,35.5,8.0,19.5,1371.0,63.0
57,A+ for Effort,D3f3nd3r,227,651,673,28,0.34,0.832,880,7,35,4.9,1.4,50,,10,21594,D4 - Willie Mays,124767,56.5,28.0,47.0,2.0,23.5,42.0,13.0,3.0,40.5,1.0,1.0,14.5,1040.5,80.0
58,Shelby Miller Return Tour,Take Over,153,493,462,51,0.344,0.816,807,75,4,4.29,1.23,48,,11,21594,D4 - Willie Mays,124653,3.0,1.0,1.0,18.5,36.5,28.0,9.0,65.5,7.0,19.0,50.0,10.0,1099.0,78.0
59,God Squad,Take Over,172,585,604,62,0.339,0.795,886,19,18,4.1,1.22,46,,12,21594,D4 - Willie Mays,124721,11.0,11.0,24.0,33.5,21.0,13.0,15.0,9.5,23.0,38.0,58.0,6.5,1061.5,79.0
